Type,SavedIndex,Name,Centiseconds,Device,Unit,Network,Circuit,Universe,Channel,LOR Color,Web Color,Color Name
Channel,134,Roof Ridgeline {L} [U1.46 C.14] (G),28279,DMX,,,,1,46,65280,#00FF00,Green
Channel,135,Roof Ridgeline {L} [U1.47 C.15] (B),28279,DMX,,,,1,47,16711680,#0000FF,Blue
Channel,136,Roof Ridgeline {R} [U1.48 C.16] (R),28279,DMX,,,,1,48,255,#FF0000,Red
Channel,137,Roof Ridgeline {R} [U1.49 C.17] (G),28279,DMX,,,,1,49,65280,#00FF00,Green
Channel,138,Roof Ridgeline {R} [U1.50 C.18] (B),28279,DMX,,,,1,50,16711680,#0000FF,Blue
Channel,4,Security Lights [L1.15],28279,LOR,1,Regular,15,,,16777215,#FFFFFF,White
Channel,115,Singer: Snow Globe (Ww) [L2.13],28279,LOR,2,AuxA,13,,,13166335,#FFE6C8,Bisque
Channel,153,Singer: Snowman (New) [L2.15],28279,LOR,2,AuxA,15,,,16777215,#FFFFFF,White
Channel,116,Singers: Penguins [L2.14],28279,LOR,2,AuxA,14,,,4227200,#808040,Gray
Channel,119,Snow Lake (W) [L1.11],28279,LOR,1,Regular,11,,,16777215,#FFFFFF,White
Channel,3,Snowfall Motor [L7.22],28279,LOR,7,AuxA,22,,,8355711,#7F7F7F,Gray
Channel,118,Snowfall Spots [L1.16],28279,LOR,1,Regular,16,,,16777215,#FFFFFF,White
Channel,98,Snowflakes Projectors [L4.11] (WB),28279,LOR,4,AuxA,11,,,16777088,#80FFFF,Aquamarine
Channel,160,Spare [L3.13],28279,LOR,3,AuxA,13,,,8421504,#808080,Gray
Channel,174,Spare Chinese 19 [U1.51  C.19],28279,DMX,,,,1,51,12615744,#4080C0,SteelBlue
Channel,175,Spare Chinese 20 [U1.52  C.20],28279,DMX,,,,1,52,12615744,#4080C0,SteelBlue
Channel,176,Spare Chinese 21 [U1.53  C.21],28279,DMX,,,,1,53,12615744,#4080C0,SteelBlue
Channel,177,Spare Chinese 26 [U1.58  C.26],28279,DMX,,,,1,58,12615744,#4080C0,SteelBlue
Channel,170,Spare CTB24.09 [L7.09],28279,LOR,7,AuxA,9,,,8421504,#808080,Gray
Channel,171,Spare CTB24.14 [L7.14],28279,LOR,7,AuxA,14,,,8421504,#808080,Gray
Channel,172,Spare CTB24.15 [L7.15],28279,LOR,7,AuxA,15,,,8421504,#808080,Gray
Channel,169,Spare CTB24.16 [L7.16],28279,LOR,7,AuxA,16,,,8421504,#808080,Gray
Channel,100,Spare CTB24.17 [L7.17],28279,LOR,7,AuxA,17,,,8421504,#808080,Gray
Channel,101,Spare CTB24.18 [L7.18],28279,LOR,7,AuxA,18,,,8421504,#808080,Gray
Channel,111,Spare CTB24.19 [L7.19],28279,LOR,7,AuxA,19,,,8421504,#808080,Gray
Channel,112,Spare CTB24.20 [L7.20],28279,LOR,7,AuxA,20,,,8421504,#808080,Gray
Channel,168,Spare CTB24.21 [L7.21],28279,LOR,7,AuxA,21,,,8421504,#808080,Gray
Channel,173,Spare CTB24.24 [L7.24],28279,LOR,7,AuxA,24,,,12615744,#4080C0,SteelBlue
Channel,113,Star of Bethlehem (W) [L5.10],28279,LOR,5,AuxA,10,,,16777215,#FFFFFF,White
Channel,2,Streetlight Laser [L7.23],28279,LOR,7,AuxA,23,,,255,#FF0000,Red
Channel,97,Swirlies Candy Canes [L4.12] (RG),28279,LOR,4,AuxA,12,,,16512,#804000,SaddleBrown
Channel,95,Swirlies Drway [L5.12] (RGB),28279,LOR,5,AuxA,12,,,16711808,#8000FF,DarkViolet
Channel,96,Swirlies Manger Stars [L5.15] (RWB),28279,LOR,5,AuxA,15,,,12615680,#0080C0,DarkCyan
Channel,94,Swirlies Oak [L5.14] (RGB),28279,LOR,5,AuxA,14,,,4194432,#800040,Maroon
Channel,93,Swirlies Pine [L5.13] (G+Orn),28279,LOR,5,AuxA,13,,,16384,#004000,DarkGreen
Channel,167,Swirlies Street [L5.16] (Multi),28279,LOR,5,AuxA,16,,,11778119,#47B8B3,MediumTurquoise
Channel,22,Tomato Tree A1 (L} [U1.01] (R),28279,DMX,,,,1,1,255,#FF0000,Red
Channel,23,Tomato Tree A1 (L} [U1.02] (G),28279,DMX,,,,1,2,65280,#00FF00,Green
Channel,24,Tomato Tree A1 (L} [U1.03] (B),28279,DMX,,,,1,3,16711680,#0000FF,Blue
Channel,25,Tomato Tree A1 {L} [U1.04] (W),28279,DMX,,,,1,4,16777215,#FFFFFF,White
Channel,26,Tomato Tree A2 [U1.05] (R),28279,DMX,,,,1,5,255,#FF0000,Red
Channel,27,Tomato Tree A2 [U1.06] (G),28279,DMX,,,,1,6,65280,#00FF00,Green
Channel,28,Tomato Tree A2 [U1.07] (B),28279,DMX,,,,1,7,16711680,#0000FF,Blue
Channel,29,Tomato Tree A2 [U1.08] (W),28279,DMX,,,,1,8,16777215,#FFFFFF,White
Channel,30,Tomato Tree A3 [U1.09] (R),28279,DMX,,,,1,9,255,#FF0000,Red
Channel,31,Tomato Tree A3 [U1.10] (G),28279,DMX,,,,1,10,65280,#00FF00,Green
Channel,32,Tomato Tree A3 [U1.11] (B),28279,DMX,,,,1,11,16711680,#0000FF,Blue
Channel,33,Tomato Tree A3 [U1.12] (W),28279,DMX,,,,1,12,16777215,#FFFFFF,White
Channel,34,Tomato Tree A4 {CL} [U1.13] (R),28279,DMX,,,,1,13,255,#FF0000,Red
Channel,35,Tomato Tree A4 {CL} [U1.14] (G),28279,DMX,,,,1,14,65280,#00FF00,Green
Channel,36,Tomato Tree A4 {CL} [U1.15] (B),28279,DMX,,,,1,15,16711680,#0000FF,Blue
Channel,37,Tomato Tree A4 {CL} [U1.16] (W),28279,DMX,,,,1,16,16777215,#FFFFFF,White
Channel,38,Tomato Tree A5 {CR} [U1.17] (R),28279,DMX,,,,1,17,255,#FF0000,Red
Channel,39,Tomato Tree A5 {CR} [U1.18] (G),28279,DMX,,,,1,18,65280,#00FF00,Green
Channel,40,Tomato Tree A5 {CR} [U1.19] (B),28279,DMX,,,,1,19,16711680,#0000FF,Blue
Channel,41,Tomato Tree A5 {CR} [U1.20] (W),28279,DMX,,,,1,20,16777215,#FFFFFF,White
Channel,42,Tomato Tree A6 [U1.21] (R),28279,DMX,,,,1,21,255,#FF0000,Red
Channel,43,Tomato Tree A6 [U1.22] (G),28279,DMX,,,,1,22,65280,#00FF00,Green
Channel,44,Tomato Tree A6 [U1.23] (B),28279,DMX,,,,1,23,16711680,#0000FF,Blue
Channel,45,Tomato Tree A6 [U1.24] (W),28279,DMX,,,,1,24,16777215,#FFFFFF,White
Channel,46,Tomato Tree A7 [U1.25] (R),28279,DMX,,,,1,25,255,#FF0000,Red
Channel,47,Tomato Tree A7 [U1.26] (G),28279,DMX,,,,1,26,65280,#00FF00,Green
Channel,48,Tomato Tree A7 [U1.27] (B),28279,DMX,,,,1,27,16711680,#0000FF,Blue
Channel,49,Tomato Tree A7 [U1.28] (W),28279,DMX,,,,1,28,16777215,#FFFFFF,White
Channel,50,Tomato Tree A8 {R} [U1.29] (R),28279,DMX,,,,1,29,255,#FF0000,Red
Channel,51,Tomato Tree A8 {R} [U1.30] (G),28279,DMX,,,,1,30,65280,#00FF00,Green
Channel,52,Tomato Tree A8 {R} [U1.31] (B),28279,DMX,,,,1,31,16711680,#0000FF,Blue
Channel,53,Tomato Tree A8 {R} [U1.32] (W),28279,DMX,,,,1,32,16777215,#FFFFFF,White
Channel,62,Tomato Tree B1 {L} [L6.01] (V),28279,LOR,6,AuxA,1,,,16711808,#8000FF,DarkViolet
Channel,54,Tomato Tree B1 {L} [L6.02] (W),28279,LOR,6,AuxA,2,,,16777215,#FFFFFF,White
Channel,63,Tomato Tree B2 [L6.03] (V),28279,LOR,6,AuxA,3,,,16711808,#8000FF,DarkViolet
Channel,55,Tomato Tree B2 [L6.04] (W),28279,LOR,6,AuxA,4,,,16777215,#FFFFFF,White
