Type,SavedIndex,Name,Centiseconds,Device,Unit,Network,Circuit,Universe,Channel,LOR Color,Web Color,Color Name
Channel,51,Tree Big 1 [L2.09] (M),,LOR,2,AuxA,9,,,16711680,#0000FF,Blue
Channel,105,Tree Big 2 [L2.10] (M),,LOR,2,AuxA,10,,,16711680,#0000FF,Blue
Channel,106,Tree Small {L} [L2.11] (B),,LOR,2,AuxA,11,,,16711680,#0000FF,Blue
Channel,47,Presents [L2.12],,LOR,2,AuxA,12,,,12615680,#0080C0,DarkCyan
Channel,46,Singers: Penguins [L2.14],,LOR,2,AuxA,14,,,12615808,#8080C0,LightSlateGray
Channel,146,Singer: Snowman (New) [L2.15],,LOR,2,AuxA,15,,,16777215,#FFFFFF,White
Channel,147,Singer: Snowman (New) [L2.15],,LOR,2,AuxA,15,,,16777215,#FFFFFF,White
Channel,145,Singer: Snowman (New) [L2.15],,LOR,2,AuxA,15,,,16777215,#FFFFFF,White
Channel,12,Tree Spiral 1 {L} [L3.01] (W),,LOR,3,AuxA,1,,,16777215,#FFFFFF,White
Channel,11,Tree Spiral 2 {F} [L3.02] (W),,LOR,3,AuxA,2,,,16777215,#FFFFFF,White
Channel,13,Tree Spiral 3 {R} [L3.03] (W),,LOR,3,AuxA,3,,,16777215,#FFFFFF,White
Channel,45,Tree Spiral 4 {B} [L3.04] (G),,LOR,3,AuxA,4,,,65280,#00FF00,Green
Channel,140,Tree Tinsel 1 {L} [L3.05] (R),,LOR,3,AuxA,5,,,255,#FF0000,Red
Channel,139,Tree Tinsel 2 {R} [L3.06] (R),,LOR,3,AuxA,6,,,255,#FF0000,Red
Channel,5,Bushes {L} [L3.07] (Multi),,LOR,3,AuxA,7,,,16777215,#FFFFFF,White
Channel,49,Bushes {L} [L3.08] (W),,LOR,3,AuxA,8,,,16777215,#FFFFFF,White
Channel,50,Bushes {L} Low [L3.09] (Orn),,LOR,3,AuxA,9,,,33023,#FF8000,DarkOrange
Channel,21,UFOs {L} [L3.10] (RGB),,LOR,3,AuxA,10,,,16777215,#FFFFFF,White
Channel,144,UFOs {C}{T} [L3.11] (RGB),,LOR,3,AuxA,11,,,16777215,#FFFFFF,White
Channel,159,Yellow Snow (Yel) [L3.12],,LOR,3,AuxA,12,,,8454143,#FFFF80,Khaki
Channel,56,Singer: Snow Globe [L2.13] (W),,LOR,3,Aux@,13,,,16777215,#FFFFFF,White
Channel,3,Bushes {C} M5 [L4.01] (R),,LOR,4,AuxA,1,,,255,#FF0000,Red
Channel,2,Bushes {C} M5 [L4.02] (G),,LOR,4,AuxA,2,,,65280,#00FF00,Green
Channel,143,Bushes {C} M5 [L4.03] (B),,LOR,4,AuxA,3,,,16711680,#0000FF,Blue
Channel,1,Bushes {C} M5 [L4.04] (Ww),,LOR,4,AuxA,4,,,16777215,#FFFFFF,White
Channel,84,Rainbow Rope Arch 1 [L4.05] (R),,LOR,4,AuxA,5,,,255,#FF0000,Red
Channel,85,Rainbow Rope Arch 2 [L4.06] (O),,LOR,4,AuxA,6,,,33023,#FF8000,DarkOrange
Channel,86,Rainbow Rope Arch 3 [L4.07] (Y),,LOR,4,AuxA,7,,,65535,#FFFF00,Yellow
Channel,87,Rainbow Rope Arch 4 [L4.08] (G),,LOR,4,AuxA,8,,,65280,#00FF00,Green
Channel,88,Rainbow Rope Arch 5 [L4.09] (B),,LOR,4,AuxA,9,,,16711680,#0000FF,Blue
Channel,89,Rainbow Rope Arch 6 [L4.10] (V),,LOR,4,AuxA,10,,,16711870,#BE00FF,Magenta
Channel,151,Swirlies Candy Canes [L4.12] (RG),,LOR,4,AuxA,12,,,16777215,#FFFFFF,White
Channel,92,Countdown Timer (B) [L4.13],,LOR,4,AuxA,13,,,16711680,#0000FF,Blue
Channel,150,Mailboxes [L4.15],,LOR,4,AuxA,15,,,16777215,#FFFFFF,White
Channel,149,Mailboxes [L4.15],,LOR,4,AuxA,15,,,33023,#FF8000,DarkOrange
Channel,48,Lamp Posts [L4.16],,LOR,4,AuxA,16,,,50943,#FFC600,Gold
Channel,141,Bushes {R} [L5.01] (R),,LOR,5,AuxA,1,,,255,#FF0000,Red
Channel,142,Bushes {R} [L5.02] (G),,LOR,5,AuxA,2,,,65280,#00FF00,Green
Channel,19,Bushes {R} [L5.03] (B),,LOR,5,AuxA,3,,,16711680,#0000FF,Blue
Channel,96,Bushes {R} [L5.04] (W),,LOR,5,AuxA,4,,,16777215,#FFFFFF,White
Channel,20,Bushes {R} [L5.05] (Vio),,LOR,5,AuxA,5,,,16711808,#8000FF,DarkViolet
Channel,4,Bushes {R} [L5.06] (Multi),,LOR,5,AuxA,6,,,33023,#FF8000,DarkOrange
Channel,80,Laser Street [L5.07] (RG),,LOR,5,AuxA,7,,,16777215,#FFFFFF,White
Channel,81,Laser Driveway [L5.08] (RG),,LOR,5,AuxA,8,,,16777215,#FFFFFF,White
Channel,90,Star of Bethlehem [L5.10] (W),,LOR,5,AuxA,10,,,16777215,#FFFFFF,White
Channel,152,Swirlies Drway [L5.12] (RGB),,LOR,5,AuxA,12,,,16777215,#FFFFFF,White
Channel,16,Swirlies Pine [L5.13] (G+Orn),,LOR,5,AuxA,13,,,16777215,#FFFFFF,White
Channel,82,Swirlies Oak [L5.14] (RGB),,LOR,5,AuxA,14,,,16777215,#FFFFFF,White
Channel,83,Swirlies Manger Stars [L5.15] (RWB),,LOR,5,AuxA,15,,,16777215,#FFFFFF,White
Channel,15,Swirlies Street [L5.16] (Multi),,LOR,5,AuxA,16,,,16777215,#FFFFFF,White
Channel,138,Tomato Tree B1 {L} [L6.01] (V),,LOR,6,AuxA,1,,,16711808,#8000FF,DarkViolet
Channel,130,Tomato Tree B1 {L} [L6.02] (W),,LOR,6,AuxA,2,,,16777215,#FFFFFF,White
Channel,137,Tomato Tree B2 [L6.03] (V),,LOR,6,AuxA,3,,,16711808,#8000FF,DarkViolet
Channel,129,Tomato Tree B2 [L6.04] (W),,LOR,6,AuxA,4,,,16777215,#FFFFFF,White
Channel,136,Tomato Tree B3 [L6.05] (V),,LOR,6,AuxA,5,,,16711808,#8000FF,DarkViolet
Channel,128,Tomato Tree B3 [L6.06] (W),,LOR,6,AuxA,6,,,16777215,#FFFFFF,White
Channel,135,Tomato Tree B4 {CL} [L6.07] (V),,LOR,6,AuxA,7,,,16711808,#8000FF,DarkViolet
Channel,127,Tomato Tree B4 {CL} [L6.08] (W),,LOR,6,AuxA,8,,,16777215,#FFFFFF,White
Channel,134,Tomato Tree B5 {CR} [L6.09] (V),,LOR,6,AuxA,9,,,16711808,#8000FF,DarkViolet
Channel,126,Tomato Tree B5 {CR} [L6.10] (W),,LOR,6,AuxA,10,,,16777215,#FFFFFF,White
Channel,133,Tomato Tree B6 [L6.11] (V),,LOR,6,AuxA,11,,,16711808,#8000FF,DarkViolet
Channel,125,Tomato Tree B6 [L6.12] (W),,LOR,6,AuxA,12,,,16777215,#FFFFFF,White
Channel,132,Tomato Tree B7 [L6.13] (V),,LOR,6,AuxA,13,,,16711808,#8000FF,DarkViolet
Channel,124,Tomato Tree B7 [L6.14] (W),,LOR,6,AuxA,14,,,16777215,#FFFFFF,White
Channel,131,Tomato Tree B8 {R} [L6.15] (V),,LOR,6,AuxA,15,,,16711808,#8000FF,DarkViolet
Channel,123,Tomato Tree B8 {R} [L6.16] (W),,LOR,6,AuxA,16,,,16777215,#FFFFFF,White
Channel,148,Snowfall Motor [L7.22],,LOR,7,AuxA,22,,,12632256,#C0C0C0,Silver
Channel,79,Streetlight Laser [L7.23],,LOR,7,AuxA,23,,,128,#800000,Maroon
